2025-08-31 18:22:12 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 18:22:12 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 18:22:12 | INFO | visions.backends | Python backend loaded
2025-08-31 18:25:26 | INFO | conftest | pytest logging configured
2025-08-31 18:25:26 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 18:25:26 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 18:25:26 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 18:25:26 | INFO | visions.backends | Python backend loaded
2025-08-31 18:25:36 | INFO | conftest | pytest logging configured
2025-08-31 18:25:37 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 18:25:37 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 18:25:37 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 18:25:37 | INFO | visions.backends | Python backend loaded
2025-08-31 18:30:27 | INFO | conftest | pytest logging configured
2025-08-31 18:30:27 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 18:30:27 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 18:30:27 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 18:30:27 | INFO | visions.backends | Python backend loaded
2025-08-31 18:31:44 | INFO | conftest | pytest logging configured
2025-08-31 18:31:44 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 18:31:44 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 18:31:44 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 18:31:44 | INFO | visions.backends | Python backend loaded
2025-08-31 18:37:16 | INFO | conftest | pytest logging configured
2025-08-31 18:37:16 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 18:37:16 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 18:37:16 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 18:37:16 | INFO | visions.backends | Python backend loaded
2025-08-31 22:12:02 | INFO | conftest | pytest logging configured
2025-08-31 22:12:03 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:12:03 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:12:03 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:12:03 | INFO | visions.backends | Python backend loaded
2025-08-31 22:12:39 | INFO | conftest | pytest logging configured
2025-08-31 22:12:39 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:12:39 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:12:39 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:12:39 | INFO | visions.backends | Python backend loaded
2025-08-31 22:17:35 | INFO | conftest | pytest logging configured
2025-08-31 22:17:35 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:17:35 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:17:35 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:17:35 | INFO | visions.backends | Python backend loaded
2025-08-31 22:18:30 | INFO | conftest | pytest logging configured
2025-08-31 22:18:31 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:18:31 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:18:31 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:18:31 | INFO | visions.backends | Python backend loaded
2025-08-31 22:19:13 | INFO | conftest | pytest logging configured
2025-08-31 22:19:13 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:19:13 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:19:13 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:19:13 | INFO | visions.backends | Python backend loaded
2025-08-31 22:19:46 | INFO | conftest | pytest logging configured
2025-08-31 22:19:46 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:19:46 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:19:46 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:19:46 | INFO | visions.backends | Python backend loaded
2025-08-31 22:20:22 | INFO | conftest | pytest logging configured
2025-08-31 22:20:23 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:20:23 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:20:23 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:20:23 | INFO | visions.backends | Python backend loaded
2025-08-31 22:26:58 | INFO | conftest | pytest logging configured
2025-08-31 22:26:58 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:26:58 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:26:58 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:26:58 | INFO | visions.backends | Python backend loaded
2025-08-31 22:27:14 | INFO | conftest | pytest logging configured
2025-08-31 22:27:14 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:27:14 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:27:14 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:27:14 | INFO | visions.backends | Python backend loaded
2025-08-31 22:27:42 | INFO | conftest | pytest logging configured
2025-08-31 22:27:42 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:27:42 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:27:42 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:27:42 | INFO | visions.backends | Python backend loaded
2025-08-31 22:28:20 | INFO | conftest | pytest logging configured
2025-08-31 22:28:20 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-08-31 22:28:20 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-08-31 22:28:20 | INFO | visions.backends | Pyspark backend NOT loaded
2025-08-31 22:28:20 | INFO | visions.backends | Python backend loaded
2025-09-01 19:06:59 | INFO | conftest | pytest logging configured
2025-09-01 19:07:00 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:07:00 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:07:00 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:07:00 | INFO | visions.backends | Python backend loaded
2025-09-01 19:09:47 | INFO | conftest | pytest logging configured
2025-09-01 19:09:47 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:09:47 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:09:47 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:09:47 | INFO | visions.backends | Python backend loaded
2025-09-01 19:09:55 | INFO | conftest | pytest logging configured
2025-09-01 19:09:56 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:09:56 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:09:56 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:09:56 | INFO | visions.backends | Python backend loaded
2025-09-01 19:10:02 | INFO | conftest | pytest logging configured
2025-09-01 19:10:03 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:10:03 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:10:03 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:10:03 | INFO | visions.backends | Python backend loaded
2025-09-01 19:10:16 | INFO | conftest | pytest logging configured
2025-09-01 19:10:17 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:10:17 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:10:17 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:10:17 | INFO | visions.backends | Python backend loaded
2025-09-01 19:10:28 | INFO | conftest | pytest logging configured
2025-09-01 19:10:29 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:10:29 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:10:29 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:10:29 | INFO | visions.backends | Python backend loaded
2025-09-01 19:10:58 | INFO | conftest | pytest logging configured
2025-09-01 19:10:59 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:10:59 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:10:59 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:10:59 | INFO | visions.backends | Python backend loaded
2025-09-01 19:11:14 | INFO | conftest | pytest logging configured
2025-09-01 19:11:14 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:11:14 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:11:14 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:11:14 | INFO | visions.backends | Python backend loaded
2025-09-01 19:12:13 | INFO | conftest | pytest logging configured
2025-09-01 19:12:14 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:12:14 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:12:14 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:12:14 | INFO | visions.backends | Python backend loaded
2025-09-01 19:18:21 | INFO | conftest | pytest logging configured
2025-09-01 19:18:21 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:18:21 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:18:21 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:18:21 | INFO | visions.backends | Python backend loaded
2025-09-01 19:19:35 | INFO | conftest | pytest logging configured
2025-09-01 19:19:35 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 19:19:35 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 19:19:35 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 19:19:35 | INFO | visions.backends | Python backend loaded
2025-09-01 20:41:16 | INFO | conftest | pytest logging configured
2025-09-01 20:41:17 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 20:41:17 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 20:41:17 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 20:41:17 | INFO | visions.backends | Python backend loaded
2025-09-01 20:46:27 | INFO | conftest | pytest logging configured
2025-09-01 20:46:27 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 20:46:27 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 20:46:27 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 20:46:27 | INFO | visions.backends | Python backend loaded
2025-09-01 20:46:38 | INFO | conftest | pytest logging configured
2025-09-01 20:46:38 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 20:46:38 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 20:46:38 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 20:46:38 | INFO | visions.backends | Python backend loaded
2025-09-01 20:57:19 | INFO | conftest | pytest logging configured
2025-09-01 20:57:20 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 20:57:20 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 20:57:20 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 20:57:20 | INFO | visions.backends | Python backend loaded
2025-09-01 20:57:32 | INFO | conftest | pytest logging configured
2025-09-01 20:57:32 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 20:57:32 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 20:57:32 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 20:57:32 | INFO | visions.backends | Python backend loaded
2025-09-01 21:10:51 | INFO | conftest | pytest logging configured
2025-09-01 21:10:51 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:10:51 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:10:51 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:10:51 | INFO | visions.backends | Python backend loaded
2025-09-01 21:10:56 | INFO | conftest | pytest logging configured
2025-09-01 21:10:57 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:10:57 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:10:57 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:10:57 | INFO | visions.backends | Python backend loaded
2025-09-01 21:11:04 | INFO | conftest | pytest logging configured
2025-09-01 21:11:04 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:11:04 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:11:04 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:11:04 | INFO | visions.backends | Python backend loaded
2025-09-01 21:11:47 | INFO | conftest | pytest logging configured
2025-09-01 21:11:47 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:11:47 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:11:47 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:11:47 | INFO | visions.backends | Python backend loaded
2025-09-01 21:11:54 | INFO | conftest | pytest logging configured
2025-09-01 21:11:54 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:11:54 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:11:54 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:11:54 | INFO | visions.backends | Python backend loaded
2025-09-01 21:19:28 | INFO | conftest | pytest logging configured
2025-09-01 21:19:28 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:19:28 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:19:28 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:19:28 | INFO | visions.backends | Python backend loaded
2025-09-01 21:19:39 | INFO | conftest | pytest logging configured
2025-09-01 21:19:39 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:19:39 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:19:39 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:19:39 | INFO | visions.backends | Python backend loaded
2025-09-01 21:21:11 | INFO | conftest | pytest logging configured
2025-09-01 21:21:12 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:21:12 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:21:12 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:21:12 | INFO | visions.backends | Python backend loaded
2025-09-01 21:27:53 | INFO | conftest | pytest logging configured
2025-09-01 21:27:53 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:27:53 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:27:53 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:27:53 | INFO | visions.backends | Python backend loaded
2025-09-01 21:29:16 | INFO | conftest | pytest logging configured
2025-09-01 21:29:17 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:29:17 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:29:17 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:29:17 | INFO | visions.backends | Python backend loaded
2025-09-01 21:29:46 | INFO | conftest | pytest logging configured
2025-09-01 21:29:46 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:29:46 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:29:46 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:29:46 | INFO | visions.backends | Python backend loaded
2025-09-01 21:32:02 | INFO | conftest | pytest logging configured
2025-09-01 21:32:02 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:32:02 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:32:02 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:32:02 | INFO | visions.backends | Python backend loaded
